step	train_loss	eval_loss
1	3.66628683	
2	3.52642107	
3	3.94028318	
4	3.56915200	
5	3.68107951	
6	3.76396716	
7	3.70912778	
8	3.91529310	
9	3.81821406	
10	3.45382094	
11	3.63358736	
12	3.80997276	
13	3.67082191	
14	4.01883447	
15	3.90946412	
16	3.66800189	
17	3.59478211	
18	3.72225261	
19	3.52566552	
20	3.73731816	
21	3.61402452	
22	3.75631237	
23	3.87750077	
24	3.59087336	
25	3.58585787	
26	3.84047711	
27	3.70547628	
28	3.61817741	
29	3.59336472	
30	3.78512514	
31	3.61414969	
32	3.70257747	
33	3.84090197	
34	3.79810357	
35	3.83384216	
36	3.77528179	
37	3.53927362	
38	3.70034313	
39	3.53125513	
40	3.62061381	
41	3.76363790	
42	3.78567362	
43	3.71242285	
44	3.73458898	
45	3.45694816	
46	3.93136203	
47	3.64929938	
48	3.84092700	
49	3.68279731	
50	3.96018708	
51	3.69465160	
52	3.57162249	
53	3.59107649	
54	3.56834018	
55	3.64994764	
56	3.88064468	
57	3.75151908	
58	3.96397495	
59	3.77734256	
60	3.65337849	
61	3.65000677	
62	3.61010754	
63	3.50539708	
64	3.58797705	
65	3.43747735	
66	3.58439231	
67	3.58121455	
68	3.63080251	
69	3.76200604	
70	3.42320240	
71	3.67765820	
72	3.66404760	
73	3.51943648	
74	3.89096451	
75	3.57638323	
76	3.76383114	
77	3.80760026	
78	3.53561115	
79	3.52239406	
80	3.86258507	
81	3.78775704	
82	3.80993533	
83	3.78735113	
84	3.65967250	
85	3.84437406	
86	3.82173681	
87	3.82610500	
88	3.70434988	
89	3.74190640	
90	3.76883888	
91	3.75682640	
92	3.69258034	
93	3.63933408	
94	3.62667811	
95	3.43139672	
96	3.78182817	
97	3.64404404	
98	3.88492024	
99	3.67569876	
100	3.57451797	
101	3.89523089	
102	3.57347453	
103	3.77523315	
104	3.56239665	
105	3.68348145	
106	3.48789275	
107	3.73751366	
108	3.71678793	
109	3.80618727	
110	3.65185142	
111	3.70414925	
112	3.63141799	
113	3.77993488	
114	3.57531893	
115	3.64851463	
116	3.77343988	
117	3.74725795	
118	3.85269654	
119	3.78241014	
120	3.76047313	
121	3.68087387	
122	3.76699126	
123	3.53977585	
124	3.70170724	
125	3.83436620	
126	3.59759474	
127	3.70835924	
128	3.90885699	
129	3.89487934	
130	3.51362443	
131	3.74668133	
132	3.74702978	
133	3.37697756	
134	3.61269093	
135	3.95471227	
136	3.75285172	
137	3.68257070	
138	3.65948248	
139	3.80146909	
140	4.29732418	
141	3.88206923	
142	3.67457736	
143	3.69086111	
144	3.67708218	
145	3.79332852	
146	3.71889782	
147	3.78141117	
148	3.86448872	
149	3.53752732	
150	3.72721589	
151	3.73564017	
