step	train_loss	eval_loss
1	3.72166401	
2	3.84557027	
3	3.27067137	
4	3.70977861	
5	4.01531684	
6	3.58118612	
7	3.69383049	
8	3.69748771	
9	3.84843934	
10	3.65002173	
11	3.63994271	
12	3.80232406	
13	4.03563005	
14	3.94898963	
15	3.31895173	
16	3.65720147	
17	3.59745121	
18	3.80692202	
19	3.77926058	
20	3.62174702	
21	3.93163103	
22	4.00142580	
23	3.60124379	
24	3.95244831	
25	3.83104438	
26	3.69177794	
27	3.48115689	
28	3.81387031	
29	3.45210326	
30	3.63844717	
31	3.83920383	
32	3.60387534	
33	3.59441251	
34	3.86816603	
35	3.81264472	
36	3.72373325	
37	3.66576946	
38	3.44061130	
39	3.89877695	
40	3.80324721	
41	3.86471516	
42	3.43152750	
43	3.68894148	
44	3.48703068	
45	3.74685854	
46	3.83139086	
47	3.66864687	
48	3.56056398	
49	3.75391710	
50	3.78883040	
51	3.88191742	
52	3.78040951	
53	3.73292416	
54	3.95761770	
55	3.70820445	
56	3.54792231	
57	3.62849683	
58	3.67024034	
59	3.66847545	
60	3.39595670	
61	3.66147900	
62	3.83626205	
63	3.75398850	
64	3.72946399	
65	3.75726908	
66	3.58302259	
67	3.81072891	
68	3.40204680	
69	3.62579697	
70	4.05037707	
71	3.66020173	
72	3.63112056	
73	3.92858297	
74	3.72503078	
75	3.72307801	
76	4.00315940	
77	3.56946599	
78	3.80528951	
79	3.51238340	
80	3.65478170	
81	3.43802136	
82	3.63756549	
83	3.65128487	
84	3.89558488	
85	3.73943746	
86	3.70931536	
87	4.01854742	
88	3.83656824	
89	3.76681358	
90	3.65055251	
91	3.69361401	
92	3.66161180	
93	3.49992508	
94	3.72243661	
95	3.60970962	
96	3.57020009	
97	3.44412208	
98	3.39561224	
99	3.65111852	
100	3.47309041	
101	3.58613122	
102	3.64483780	
103	3.56248647	
104	3.71504509	
105	3.70258069	
106	3.34083050	
107	3.61217159	
108	3.70343125	
109	3.68063617	
110	3.61025393	
111	3.38527763	
112	4.09241402	
113	3.52207768	
114	3.71898133	
115	3.75651687	
116	3.78520548	
117	3.73509407	
118	3.48792452	
119	3.43791330	
120	3.74266207	
121	3.88618881	
122	3.78230256	
123	3.81356806	
124	3.80041730	
125	3.77135271	
126	3.61777574	
127	3.76599544	
128	3.90606540	
129	3.77526277	
130	3.82403648	
131	3.66132057	
132	3.93069351	
133	3.69450223	
134	3.78192931	
135	3.89715928	
136	3.58610910	
137	3.72145641	
138	3.70232016	
139	3.75130957	
140	3.80227703	
141	3.45989031	
142	3.62858987	
143	3.32198375	
144	3.61932635	
145	3.87562847	
146	3.61013943	
147	3.83875400	
148	3.83716583	
149	3.57778591	
150	3.67828006	
151	3.60808736	
152	3.83318907	
153	3.78831375	
154	3.56706393	
155	3.82067108	
156	3.51948762	
157	3.67170107	
158	3.61369884	
159	3.66069478	
160	3.48538721	
161	3.84197968	
162	3.57449746	
163	3.77025551	
164	3.77703643	
165	3.77128905	
166	3.64443266	
167	3.69214159	
168	3.68497527	
169	3.62518376	
170	3.91530275	
171	3.58444601	
172	3.53687018	
173	3.68351388	
174	3.71148592	
175	3.74690568	
176	3.73298943	
177	3.98166120	
178	3.69036382	
179	3.75606126	
180	3.80233246	
181	3.76082158	
182	3.74557871	
183	3.59923160	
184	3.81513721	
185	3.68068045	
