step	train_loss	eval_loss
1	3.66628683	
2	3.52694750	
3	3.93965757	
4	3.56927681	
5	3.68094492	
6	3.76372814	
7	3.70895195	
8	3.91567409	
9	3.81859839	
10	3.45366931	
11	3.63400018	
12	3.80966914	
13	3.67117488	
14	4.01879108	
15	3.90921676	
16	3.66834295	
17	3.59520864	
18	3.72100639	
19	3.52576041	
20	3.73749030	
21	3.61340761	
22	3.75591075	
23	3.87751067	
24	3.59115493	
25	3.58531964	
26	3.84056461	
27	3.70579147	
28	3.61742687	
29	3.59321547	
30	3.78596663	
31	3.61413383	
32	3.70348227	
33	3.84029818	
34	3.79658937	
35	3.83400893	
36	3.77451897	
37	3.53921020	
38	3.70012712	
39	3.53132582	
40	3.62037325	
41	3.76283193	
42	3.78596330	
43	3.71214640	
44	3.73342168	
45	3.45705092	
46	3.93182313	
47	3.64766121	
48	3.84033465	
49	3.68193197	
50	3.96029532	
51	3.69515955	
52	3.57028663	
53	3.59139800	
54	3.56858075	
55	3.64968050	
56	3.87995398	
57	3.75075483	
58	3.96353817	
59	3.77729344	
60	3.65254581	
61	3.65019512	
62	3.61184025	
63	3.50540292	
64	3.58707881	
65	3.43731904	
66	3.58475876	
67	3.58133614	
68	3.63020134	
69	3.76248443	
70	3.42344642	
71	3.67802441	
72	3.66259813	
73	3.51953781	
74	3.89064360	
75	3.57727456	
76	3.76387012	
77	3.80835152	
78	3.53522515	
79	3.52134919	
80	3.86186850	
81	3.78653276	
82	3.80978084	
83	3.78829360	
84	3.65816450	
85	3.84546435	
86	3.82092059	
87	3.82560337	
88	3.70401299	
89	3.74261987	
90	3.76994789	
91	3.75646234	
92	3.69235361	
93	3.63915098	
94	3.62576234	
95	3.42966378	
96	3.78204703	
97	3.64427423	
98	3.88416064	
99	3.67695320	
100	3.57419717	
101	3.89571345	
102	3.57284844	
103	3.77519417	
104	3.56249213	
105	3.68424094	
106	3.48896790	
107	3.73737490	
108	3.71682882	
109	3.80696225	
110	3.65124524	
111	3.70507574	
112	3.63125050	
113	3.78058207	
114	3.57505977	
115	3.64808106	
116	3.77215624	
117	3.74612808	
118	3.85235679	
119	3.78206849	
120	3.76054680	
121	3.68177843	
122	3.76794481	
123	3.53979015	
124	3.70290041	
125	3.83501291	
126	3.59736311	
127	3.70825291	
128	3.90902567	
129	3.89523220	
130	3.51342332	
131	3.74737453	
132	3.74681878	
133	3.37724102	
134	3.61257803	
135	3.95439827	
136	3.75073004	
137	3.68277264	
138	3.66020739	
139	3.80027699	
140	4.29705024	
141	3.88125575	
142	3.67498553	
143	3.69092059	
144	3.67810893	
145	3.79300797	
146	3.71992350	
147	3.78264344	
148	3.86468887	
149	3.53743947	
150	3.72681046	
151	3.73544097	
152	3.90345550	
153	3.37284255	
154	3.64788294	
155	3.77796745	
156	3.73450410	
157	3.81709290	
158	3.75500751	
159	3.94102216	
160	3.81916583	
161	3.66383266	
162	3.56749833	
163	4.00886321	
164	4.19881546	
165	3.71527517	
166	3.68579710	
167	3.69721639	
168	3.94760835	
169	3.89267635	
170	3.50551701	
171	3.82046831	
172	3.75430238	
173	3.84584570	
174	3.86258900	
175	3.68569434	
176	3.87470031	
177	3.54975200	
178	3.63749599	
179	3.72132921	
180	3.57471132	
181	3.63313842	
182	3.64166689	
183	3.75692284	
184	3.92745292	
185	3.84484518	
186	3.61074412	
187	3.70473635	
188	3.63298452	
189	3.69635296	
190	3.88509369	
191	3.69039476	
192	3.77054095	
193	3.88998389	
194	3.69003522	
195	3.80517268	
196	3.73388755	
197	3.85614431	
198	3.61394548	
199	3.77285349	
200	3.70603263	
201	3.59056795	
202	3.65695453	
203	3.58975673	
204	3.81074500	
205	3.91180444	
206	3.77613115	
207	3.65769386	
208	3.60722733	
209	3.69125879	
210	3.40109301	
211	3.66610181	
212	3.81246018	
213	3.97350931	
214	3.82592690	
215	3.73930001	
216	3.74291706	
217	3.88175976	
218	3.82059622	
219	3.79101086	
220	3.64926565	
221	3.64091396	
222	3.62607312	
223	3.80388653	
224	3.47464347	
225	3.75588560	
226	3.74873924	
227	3.76407790	
228	3.53920293	
229	3.72078061	
230	3.60829246	
231	3.68201005	
232	3.74941409	
233	3.86331761	
234	3.59752250	
235	3.93276536	
236	3.83544779	
237	3.57552695	
238	3.52191830	
239	3.60262787	
240	3.72539151	
241	3.68739319	
242	3.94145477	
243	3.84233642	
244	4.07773590	
245	3.86963153	
246	3.73141134	
247	3.52717304	
248	4.07225120	
249	3.64221144	
250	3.70008302	3.63753283
251	3.98624933	
252	3.48258209	
253	3.73148668	
254	3.75731683	
255	3.79942906	
256	3.62482369	
257	3.65667284	
258	3.78603089	
259	3.92136991	
260	3.77223015	
261	3.70825481	
262	3.79063940	
263	3.74109101	
264	3.69544411	
265	3.75104642	
266	3.92156875	
267	3.92474985	
268	3.55885518	
269	3.68199468	
270	3.65745640	
271	3.87563634	
272	3.68653333	
273	3.50741839	
274	3.75940359	
275	3.49688125	
276	3.66290128	
277	3.75638938	
278	3.76621389	
279	3.60187984	
280	3.88927603	
281	3.76641321	
282	3.95612252	
283	3.52595007	
284	3.57728064	
285	3.80872309	
286	3.78180945	
287	3.38057125	
288	3.77582359	
289	3.60875571	
290	3.60755885	
291	3.88852990	
292	3.66090918	
293	3.67560017	
294	3.67899096	
295	3.93622899	
296	3.55576491	
297	3.86925852	
298	3.83019400	
299	3.62289190	
300	3.68449306	
301	3.65889835	
302	3.67317820	
303	3.67374802	
304	3.80898690	
305	3.62337530	
306	3.52265191	
307	3.60722852	
308	3.84770715	
309	3.72273374	
