step:0/1390 val_loss:10.8304 train_time:0ms step_avg:0.03ms
step:1/1390 train_time:2329ms step_avg:2329.00ms
step:2/1390 train_time:4721ms step_avg:2360.54ms
step:3/1390 train_time:7116ms step_avg:2372.00ms
step:4/1390 train_time:9844ms step_avg:2461.06ms
step:5/1390 train_time:12239ms step_avg:2447.77ms
step:6/1390 train_time:14631ms step_avg:2438.51ms
step:7/1390 train_time:17026ms step_avg:2432.29ms
step:8/1390 train_time:19421ms step_avg:2427.59ms
step:9/1390 train_time:21816ms step_avg:2424.00ms
step:10/1390 train_time:24209ms step_avg:2420.88ms
step:11/1390 train_time:26604ms step_avg:2418.53ms
step:12/1390 train_time:28998ms step_avg:2416.54ms
step:13/1390 train_time:31394ms step_avg:2414.89ms
step:14/1390 train_time:33786ms step_avg:2413.31ms
step:15/1390 train_time:36181ms step_avg:2412.08ms
step:16/1390 train_time:38576ms step_avg:2411.01ms
step:17/1390 train_time:40971ms step_avg:2410.08ms
step:18/1390 train_time:43364ms step_avg:2409.09ms
step:19/1390 train_time:45759ms step_avg:2408.35ms
step:20/1390 train_time:48151ms step_avg:2407.57ms
step:21/1390 train_time:50548ms step_avg:2407.06ms
step:22/1390 train_time:52941ms step_avg:2406.40ms
step:23/1390 train_time:55335ms step_avg:2405.89ms
step:24/1390 train_time:57727ms step_avg:2405.31ms
step:25/1390 train_time:60124ms step_avg:2404.98ms
step:26/1390 train_time:62517ms step_avg:2404.50ms
step:27/1390 train_time:64911ms step_avg:2404.13ms
step:28/1390 train_time:67304ms step_avg:2403.70ms
step:29/1390 train_time:69700ms step_avg:2403.45ms
step:30/1390 train_time:72092ms step_avg:2403.08ms
step:31/1390 train_time:74487ms step_avg:2402.81ms
step:32/1390 train_time:76879ms step_avg:2402.47ms
step:33/1390 train_time:79276ms step_avg:2402.30ms
step:34/1390 train_time:81668ms step_avg:2402.01ms
step:35/1390 train_time:84063ms step_avg:2401.79ms
step:36/1390 train_time:86455ms step_avg:2401.53ms
step:37/1390 train_time:88852ms step_avg:2401.39ms
step:38/1390 train_time:91244ms step_avg:2401.15ms
step:39/1390 train_time:93638ms step_avg:2400.98ms
step:40/1390 train_time:96030ms step_avg:2400.76ms
step:41/1390 train_time:98424ms step_avg:2400.59ms
step:42/1390 train_time:100818ms step_avg:2400.44ms
step:43/1390 train_time:103213ms step_avg:2400.30ms
step:44/1390 train_time:105605ms step_avg:2400.12ms
step:45/1390 train_time:107999ms step_avg:2399.99ms
step:46/1390 train_time:110394ms step_avg:2399.87ms
step:47/1390 train_time:112788ms step_avg:2399.75ms
step:48/1390 train_time:115180ms step_avg:2399.59ms
step:49/1390 train_time:117575ms step_avg:2399.49ms
step:50/1390 train_time:119969ms step_avg:2399.38ms
step:50/1390 val_loss:5.6632 train_time:120070ms step_avg:2401.39ms
step:51/1390 train_time:122367ms step_avg:2399.34ms
step:52/1390 train_time:124759ms step_avg:2399.21ms
step:53/1390 train_time:127154ms step_avg:2399.12ms
step:54/1390 train_time:129548ms step_avg:2399.04ms
step:55/1390 train_time:131943ms step_avg:2398.96ms
step:56/1390 train_time:134335ms step_avg:2398.84ms
step:57/1390 train_time:136730ms step_avg:2398.76ms
step:58/1390 train_time:139124ms step_avg:2398.68ms
step:59/1390 train_time:141518ms step_avg:2398.62ms
step:60/1390 train_time:143910ms step_avg:2398.51ms
step:61/1390 train_time:146306ms step_avg:2398.45ms
step:62/1390 train_time:148700ms step_avg:2398.39ms
step:63/1390 train_time:151095ms step_avg:2398.33ms
step:64/1390 train_time:153487ms step_avg:2398.23ms
step:65/1390 train_time:155881ms step_avg:2398.18ms
step:66/1390 train_time:158274ms step_avg:2398.08ms
step:67/1390 train_time:160671ms step_avg:2398.07ms
step:68/1390 train_time:163063ms step_avg:2397.98ms
step:69/1390 train_time:165457ms step_avg:2397.93ms
step:70/1390 train_time:167850ms step_avg:2397.85ms
step:71/1390 train_time:170246ms step_avg:2397.84ms
step:72/1390 train_time:172639ms step_avg:2397.76ms
step:73/1390 train_time:175033ms step_avg:2397.71ms
step:74/1390 train_time:177425ms step_avg:2397.64ms
step:75/1390 train_time:179823ms step_avg:2397.64ms
step:76/1390 train_time:182215ms step_avg:2397.56ms
step:77/1390 train_time:184609ms step_avg:2397.52ms
step:78/1390 train_time:187001ms step_avg:2397.45ms
step:79/1390 train_time:189398ms step_avg:2397.44ms
step:80/1390 train_time:191790ms step_avg:2397.37ms
step:81/1390 train_time:194184ms step_avg:2397.34ms
step:82/1390 train_time:196576ms step_avg:2397.27ms
step:83/1390 train_time:198973ms step_avg:2397.26ms
step:84/1390 train_time:201365ms step_avg:2397.20ms
step:85/1390 train_time:203759ms step_avg:2397.17ms
step:86/1390 train_time:206151ms step_avg:2397.10ms
step:87/1390 train_time:208544ms step_avg:2397.06ms
step:88/1390 train_time:210938ms step_avg:2397.03ms
step:89/1390 train_time:213333ms step_avg:2397.00ms
step:90/1390 train_time:215725ms step_avg:2396.94ms
step:91/1390 train_time:218119ms step_avg:2396.91ms
step:92/1390 train_time:220514ms step_avg:2396.89ms
step:93/1390 train_time:222908ms step_avg:2396.86ms
step:94/1390 train_time:225300ms step_avg:2396.81ms
step:95/1390 train_time:227695ms step_avg:2396.79ms
step:96/1390 train_time:230089ms step_avg:2396.76ms
step:97/1390 train_time:232483ms step_avg:2396.74ms
step:98/1390 train_time:234876ms step_avg:2396.69ms
step:99/1390 train_time:237270ms step_avg:2396.66ms
step:100/1390 train_time:239665ms step_avg:2396.65ms
step:100/1390 val_loss:5.0149 train_time:239765ms step_avg:2397.65ms
step:101/1390 train_time:242062ms step_avg:2396.65ms
step:102/1390 train_time:244454ms step_avg:2396.61ms
step:103/1390 train_time:246849ms step_avg:2396.59ms
step:104/1390 train_time:249243ms step_avg:2396.57ms
step:105/1390 train_time:251638ms step_avg:2396.55ms
step:106/1390 train_time:254030ms step_avg:2396.51ms
step:107/1390 train_time:256425ms step_avg:2396.50ms
step:108/1390 train_time:258820ms step_avg:2396.48ms
step:109/1390 train_time:261215ms step_avg:2396.47ms
step:110/1390 train_time:263607ms step_avg:2396.43ms
step:111/1390 train_time:266002ms step_avg:2396.41ms
step:112/1390 train_time:268394ms step_avg:2396.38ms
step:113/1390 train_time:270792ms step_avg:2396.39ms
step:114/1390 train_time:273184ms step_avg:2396.35ms
step:115/1390 train_time:275578ms step_avg:2396.33ms
step:116/1390 train_time:277970ms step_avg:2396.30ms
step:117/1390 train_time:280367ms step_avg:2396.30ms
step:118/1390 train_time:282760ms step_avg:2396.27ms
step:119/1390 train_time:285154ms step_avg:2396.25ms
step:120/1390 train_time:287546ms step_avg:2396.22ms
step:121/1390 train_time:289944ms step_avg:2396.23ms
step:122/1390 train_time:292336ms step_avg:2396.20ms
step:123/1390 train_time:294730ms step_avg:2396.18ms
step:124/1390 train_time:297122ms step_avg:2396.15ms
step:125/1390 train_time:299519ms step_avg:2396.16ms
step:126/1390 train_time:301911ms step_avg:2396.12ms
step:127/1390 train_time:304305ms step_avg:2396.11ms
step:128/1390 train_time:306698ms step_avg:2396.07ms
step:129/1390 train_time:309094ms step_avg:2396.08ms
step:130/1390 train_time:311485ms step_avg:2396.04ms
